"Billie Eilish","lovely (with Khalid)"
"Cardi B","Please Me"
"Gorillaz","Feel Good Inc."
"The Black Keys","Lo/Hi"
"Franz Ferdinand","Take Me Out"
"Ariana Grande","breathin"
"Pixies","Where Is My Mind?"
"Hozier","Almost (Sweet Music)"
"Lady Gaga","Always Remember Us This Way"
"Post Malone","rockstar (feat. 21 Savage)"
"Mabel","Don't Call Me Up"
"Solange","Jerrod"
"Billie Eilish","idontwannabeyouanymore"
"Foals","Sunday"
"Foals","Exits"
"Billie Eilish","Bellyache"
"Queen","Another One Bites The Dust - Remastered 2011"
"Linkin Park","In the End"
"The Prodigy","Breathe"
"Solange","We Deal With the Freak'n (intermission)"
"Kendrick Lamar","DNA."
"Arctic Monkeys","R U Mine?"
"Dua Lipa","New Rules"
"Meek Mill","Going Bad (feat. Drake)"
"Solange","Beltway"
"Frank Ocean","Pink + White"
"Solange","Sound of Rain"
"Calvin Harris","Giant (with Rag'n'Bone Man)"
"Marshmello","Here With Me"
"System of a Down","Chop Suey!"
"Solange","Exit Scott (interlude)"
"Frank Ocean","nights"
"Hozier","Take Me to Church"
"Radiohead","Karma Police"
"ScHoolboy Q","Numb Numb Juice"
"Ariana Grande","Into You"
"Red Hot Chili Peppers","Under the Bridge"
"Childish Gambino","This Is America"
"Carly Rae Jepsen","Now That I Found You"
"Tame Impala","Let It Happen"
"Tears for Fears","Everybody Wants to Rule the World"
"Foals","In Degrees"
"Solange","I'm a Witness"
"Linkin Park","Numb"
"The Prodigy","Firestarter"
"Kendrick Lamar","All The Stars (with SZA)"
"Red Hot Chili Peppers","Californication"
"Billie Eilish","Ocean Eyes"
"Britney Spears","Toxic"
"Vampire Weekend","Sunflower (feat. Steve Lacy)"
"Red Hot Chili Peppers","Can't Stop"
"Foals","On The Luna"
"Vampire Weekend","Harmony Hall"
"Lorde","Green Light"
"R.E.M.","Losing My Religion"
"Drake","God's Plan"
"Arctic Monkeys","Fluorescent Adolescent"
"Twenty One Pilots","Stressed Out"
"Two Door Cinema Club","What You Know"
"P!nk","Walk Me Home"
"Benny Blanco","Eastside (with Halsey & Khalid)"
"5 Seconds of Summer","Youngblood"
"Dua Lipa","IDGAF"
"The Prodigy","Smack My Bitch Up"
"Frank Ocean","Ivy"
"Michael Jackson","Billie Jean"
"Ed Sheeran","Shape of You"
"Cardi B","I Like It"
"The Strokes","Last Nite"
"2 Chainz","Rule the World (feat. Ariana Grande)"
"Imagine Dragons","Believer"
"Charli XCX","1999"
"Mac DeMarco","Nobody"
"Marina","Superstar"
"Sia","No New Friends"
"Arctic Monkeys","Why'd You Only Call Me When You're High?"
"A$AP Rocky","Praise The Lord (Da Shine) (feat. Skepta)"
"Lady Gaga","Shallow - Radio Edit"
"Kehlani","Nights Like This (feat. Ty Dolla $ign)"
"Calvin Harris","One Kiss (with Dua Lipa)"
"Daddy Yankee","Con Calma"
"Frank Ocean","Thinkin Bout You"
"Billie Eilish","you should see me in a crown"
"Earth, Wind & Fire","September"
"The Verve","Bitter Sweet Symphony"
"DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
"Kids See Ghosts","Reborn"
"The National","You Had Your Soul With You"
"Juice WRLD","Lucid Dreams"
"Bebe Rexha","Last Hurrah"
"MGMT","Kids"
"The Cranberries","Zombie"
"Rage Against the Machine","Killing in the Name"
"xxxtentacion","SAD!"
"The Cure","Friday I'm in Love"
"Panic! at the Disco","I Write Sins Not Tragedies"
"Kodak Black","ZEZE (feat. Travis Scott & Offset)"
"Dire Straits","Sultans of Swing"
"Khalid","My Bad"
"Tyler, the Creator","See You Again"
"Alec Benjamin","Let Me Down Slowly"
"Blueface","Thotiana"
"Camila Cabello","Havana"
"MGMT","Electric Feel"
"Hozier","Movement"
"Twenty One Pilots","Chlorine"
"Electric Light Orchestra","Mr. Blue Sky"
"Juice WRLD","robbery"
"Soundgarden","Black Hole Sun"
"Kings of Leon","Sex on Fire"
"Lady Gaga","Bad Romance"
"Ellie Goulding","Close to Me (with Diplo) (feat. Swae Lee)"
"The Killers","Somebody Told Me"
"Iggy Azalea","Sally Walker"
"The Chainsmokers","Who Do You Love (with 5 Seconds of Summer)"
"Joji","Slow dancing in the dark"
"Tame Impala","Feels Like We Only Go Backwards"
"Taylor Swift","Delicate"
"Lizzo","Juice"
"Vance Joy","Riptide"
"Foo Fighters","Everlong"
"Hozier","To Noise Making (Sing)"
"M83","Midnight City"
"Fleetwood Mac","The Chain - 2004 Remaster"
"Journey","Don't Stop Believin'"
"LIL UZI VERT","XO TOUR Llif3"
"Imagine Dragons","Thunder"
"The Weeknd","Starboy"
"Kanye West","Power"
"Foals","White Onions"
"Dua Lipa","Kiss and Make Up"
"Imagine Dragons","Natural"
"Foals","Moonlight"
"Queens of the Stone Age","No One Knows"
"The Neighbourhood","Sweater Weather"
"Taylor Swift","Blank Space"
"Florence + the Machine","Dog Days Are Over"
"Kendrick Lamar","King Kunta"
"Arctic Monkeys","I Bet You Look Good on the Dancefloor"
"The xx","Intro"
"Sheck Wes","Mo Bamba"
"Khalid","Better"
"Frank Ocean","Nikes"
"Drake","In My Feelings"
"alt-J","Breezeblocks"
"Metallica","Enter Sandman"
"Post Malone","Psycho (feat. Ty Dolla $ign)"
"Guns N' Roses","Sweet Child o' Mine"
"Green Day","Basket Case"
"Coldplay","The Scientist"
"Lady Gaga","Poker Face"
"Dynoro","In My Mind"
"Lorde","Royals"
"Drake","Nice For What"
"Tropkillaz","Bola Rebola"
"John Mayer","I Guess I Just Feel Like"
"Clean Bandit","Solo (feat. Demi Lovato)"
"Jimi Hendrix","All Along the Watchtower"
"Rita Ora","Let You Love Me"
"xxxtentacion","Moonlight"
"Taylor Swift","Look What You Made Me Do"
"The Rolling Stones","Paint It Black"
"Imagine Dragons","Radioactive"
"Radiohead","No Surprises"
"Cardi B","Money"
"The Beatles","Here Comes The Sun - Remastered 2009"
"blink-182","All the Small Things"
"Billie Eilish","my boy"
"YNW Melly","Murder On My Mind"
"Creedence Clearwater Revival","Fortunate Son"
"The Clash","Should I Stay or Should I Go - Remastered"
"Vampire Weekend","A-Punk"
"Calvin Harris","Promises (with Sam Smith)"
"Frank Ocean","self control"
"Joy Division","Love Will Tear Us Apart"
"The Strokes","Reptilia"
"Taylor Swift","Shake It Off"
"AC/DC","Highway to Hell"
"ABBA","Dancing Queen"
"Travi$ Scott","goosebumps"
"Kanye West","Stronger"
"Ariana Grande","Dangerous Woman"
"Coldplay","Viva la Vida"
"Travi$ Scott","Stargazing"
"Lewis Capaldi","Someone You Loved"
"The Animals","The House of the Rising Sun"
"Red Hot Chili Peppers","Scar Tissue"
"Red Hot Chili Peppers","Otherside"
"Metallica","Nothing Else Matters"
"Gorillaz","Clint Eastwood"
"Lorde","Liability"
"My Chemical Romance","Welcome to the Black Parade"
"Queen","Bohemian Rhapsody"
"Coldplay","Yellow"
"Dean Lewis","Be Alright"
"James Blake","Mile High (feat. Travis Scott & Metro Boomin)"
"Ariana Grande","One Last Time"
"The Black Keys","Lonely Boy"
"Twenty One Pilots","Ride"
"System of a Down","Toxicity"
"Massive Attack","Teardrop"
"Red Hot Chili Peppers","Snow (Hey Oh)"
"Goo Goo Dolls","Iris"
"Ava Max","So Am I"
"Ariana Grande","Side To Side"
"Ellie Goulding","Flux"
"Jimmy Eat World","The Middle"
"Troye Sivan","Dance to This (feat. Ariana Grande)"
"Carly Rae Jepsen","No Drug Like Me"
"The Who","Baba O'Riley"
"Rihanna","Love On The Brain"
"xxxtentacion","Jocelyn Flores"
"Sofia Reyes","R.I.P. (feat. Rita Ora & ANitTA)"
"Lord Huron","The Night We Met"
"Anderson .Paak","King James"
"Pink Floyd","Wish You Were Here"
"Weezer","High as a Kite"
"Foals","Syrups"
"The Smiths","There Is a Light That Never Goes Out - 2011 Remaster"
"Nirvana","Heart-Shaped Box"
"Hozier","Shrike"
"Nirvana","Lithium"
"Juice WRLD","Hear Me Calling"
"BLACKPINK","DDU-DU DDU-DU"
"Kanye West","Black Skinhead"
"King Princess","1950"
"Lana Del Rey","Summertime Sadness"
"Jay Rock","King's Dead (with Kendrick Lamar, Future & James Blake)"
"Rihanna","Umbrella"
"Radiohead","High and Dry"
"Carly Rae Jepsen","Party for One"
"Little Mix","Woman Like Me (feat. Nicki Minaj)"
"Queen","We Will Rock You - Remastered"
"The 1975","It's Not Living (If It's Not with You)"
"The Smashing Pumpkins","1979 - Remastered 2012"
"Juice WRLD","Fast"
"Foo Fighters","The Pretender"
"The Weeknd","The Hills"
"Sia","Chandelier"
"Yungblud","11 Minutes (with Halsey feat. Travis Barker)"
"Bon Jovi","Livin' on a Prayer"
"George Ezra","Shotgun"
"Weezer","I’m Just Being Honest"
"Lady Gaga","Telephone (feat. Beyoncé)"
"Marina","Handmade Heaven"
"Lana Del Rey","Born to Die"
"M.I.A.","Paper Planes"
"blink-182","I MISS YOU"
"Lady Gaga","Million Reasons"
"Queen","Somebody To Love - Remastered 2011"
"Mitski","Nobody"
"Twenty One Pilots","Heathens"
"Paramore","HarD TiMEs"
"Lorde","Perfect Places"
"Snow Patrol","Chasing Cars"
"Foals","My Number"
"Joji","yeah right"
"Beach House","Space Song"
"Post Malone","Congratulations"
"Elton John","Rocket Man (I Think It's Going To Be A Long, Long Time)"
"Kanye West","Ghost Town"
"Soft Cell","Tainted Love"
"AC/DC","Back in Black"
"Arctic Monkeys","Arabella"
"Troye Sivan","My My My!"
"The Kooks","Naïve"
"Martin Garrix","No Sleep (feat. Bonn)"
"Billie Eilish","come out and play"
"Bad Bunny","MIA (feat. Drake)"
"Paramore","Misery Business"
"Janelle Monáe","Make Me Feel"
"The Cure","Just Like Heaven"
"Lynyrd Skynyrd","Sweet Home Alabama"
"Drake","Nonstop"
"Lauv","I Like Me Better"
"Kendrick Lamar","LOVE. FEAT. ZACARI."
"Travi$ Scott","YOSEMITE"
"2 Chainz","Whip (feat. Travis Scott)"
"The 1975","Love It If We Made It"
"Kanye West","Famous"
"The Weeknd","Call Out My Name"
"Zara Larsson","Ruin My Life"
"Frank Ocean","Chanel"
"The Strokes","Someday"
"Eurythmics","Sweet Dreams (Are Made of This) - Remastered"
"Eagles","Hotel California - Eagles 2013 Remaster"
"Silk City","Electricity (with Dua Lipa)"
"Adele","Rolling in the Deep"
"Tyler, the Creator","911 / Mr. Lonely"
"Depeche Mode","Enjoy the Silence"
"Papa Roach","Last Resort"
"Radiohead","Fake Plastic Trees"
"Grizzly Bear","Two Weeks"
"Blue Öyster Cult","(Don't Fear) The Reaper"
"My Chemical Romance","Teenagers"
"Foals","Cafe D'Athens"
"Muse","Supermassive Black Hole"
"Aerosmith","Dream On"
"A Boogie Wit da Hoodie","Look Back At It"
"Sia","Cheap Thrills"
"Miley Cyrus","Party in the U.S.A."
"Smash Mouth","All Star"
"Amy Winehouse","Back to Black"
"Kids See Ghosts","4th Dimension"
"Weezer","Buddy Holly"
"The Offspring","The Kids Aren't Alright"
"Billie Eilish","COPYCAT"
"SZA","Love Galore (feat. Travis Scott)"
"Kendrick Lamar","Alright"
"Maroon 5","Girls Like You (feat. Cardi B)"
"Frank Ocean","Solo"
"Twenty One Pilots","My Blood"
"The Killers","When You Were Young"
"Lady Gaga","Born This Way"
"The Smiths","This Charming Man - 2011 Remaster"
"Blur","Song 2 - 2012 Remastered Version"
"Green Day","American Idiot"
"John Mayer","New Light"
"Vampire Weekend","Big Blue"
"Twenty One Pilots","Jumpsuit"
"Kids See Ghosts","Feel the Love"
"Lana Del Rey","hope is a dangerous thing for a woman like me to have - but i have it"
"Shawn Mendes","In My Blood"
"Kanye West","All Mine"
"Britney Spears","...Baby One More Time"
"Oasis","Wonderwall - Remastered"
"Kanye West","I Love It (& Lil Pump)"
"The 1975","Somebody Else"
"Ariana Grande","everytime"
"Kanye West","All of the Lights"
"Mustard","Pure Water (with Migos)"
"The Cure","Boys Don't Cry"
"Drake","Passionfruit"
"The Weeknd","I Feel It Coming"
"Imagine Dragons","Bad Liar"
"Whitney Houston","I Wanna Dance with Somebody (Who Loves Me)"
"Anderson .Paak","Tints (feat. Kendrick Lamar)"
"Lil Baby","Drip Too Hard (Lil Baby & Gunna)"
"Cardi B","Bodak Yellow"
"Kanye West","Gold Digger"
"Post Malone","I Fall Apart"
"BROCKHAMPTON","BLEACH"
"Ed Sheeran","Perfect"
"Dexys Midnight Runners","Come on Eileen"
"The 1975","TOOTIMETOOTIMETOOTIME"
"Evanescence","Bring Me to Life"
"Red Hot Chili Peppers","Dani California"
"Guns N' Roses","Welcome to the Jungle"
"Coldplay","Fix You"
"Kanye West","Father Stretch My Hands Pt. 1"
"2 Chainz","Momma I Hit a Lick (feat. Kendrick Lamar)"
"Rihanna","Needed Me"
"Travi$ Scott","Butterfly Effect"
"Tyler, the Creator","Boredom"
"The Rolling Stones","Gimme Shelter"
"Ariana Grande","Sweetener"
"Muse","Uprising"
"Kendrick Lamar","ELEMENT."
"Fleetwood Mac","Everywhere - 2017 Remaster"
"Hozier","Dinner & Diatribes"
"Fall Out Boy","Sugar, We're Goin Down"
"Radiohead","Paranoid Android"
"Lorde","Team"
"Mac DeMarco","Chamber of Reflection"
"Tame Impala","New Person, Same Old Mistakes"
"The Black Keys","Howlin' for You"
"Zedd","The Middle"
"Bon Iver","Skinny Love"
"Adele","Someone Like You"
"Arcade Fire","The Suburbs"
"Arctic Monkeys","Four Out of Five"
"Kanye West","Ultralight Beam"
"Cyndi Lauper","Girls Just Want to Have Fun"
"Billie Eilish","bitches broken hearts"
"Lana Del Rey","Video Games - remastered"
"Ariana Grande","Goodnight n Go"
"Harry Styles","Sign Of The Times"
"No Doubt","Don't Speak"
"The Police","Every Breath You Take - Remastered 2003"
"Oasis","Wonderwall"
"America","A Horse With No Name"
"Backstreet Boys","I Want It That Way"
"Johnny Cash","Hurt"
"Flume","High Beams"
"MGMT","Time to Pretend"
"Gorillaz","On Melancholy Hill"
"Lana Del Rey","Love"
"The Shins","New Slang"
"blink-182","What's My Age Again?"
"Lana Del Rey","Blue Jeans"
"Anne-Marie","2002"
"Lana Del Rey","Young and Beautiful"
"BTS","FAKE LOVE"
"Dua Lipa","Swan Song (From The Motion Picture ""Alita: Battle Angel"")"
"Avicii","Wake Me Up"
"Lorde","Homemade Dynamite"
"Sam Smith","Too Good at Goodbyes"
"Eminem","Without Me"
"OneRepublic","Counting Stars"
"Lorde","The Louvre"
"Marina","Orange Trees"
"Jet","Are You Gonna Be My Girl"
"Taylor Swift","Wildest Dreams"
"The Beatles","Come Together - Remastered 2009"
"Kanye West","Yikes"
"Rex Orange County","Loving Is Easy"
"Arctic Monkeys","505"
"Lady Gaga","Just Dance"
"Of Monsters and Men","Little Talks"
"Taylor Swift","...Ready For It?"
"Drake","One Dance"
"Gnarls Barkley","Crazy"
"YNW Melly","Mixed Personalities (feat. Kanye West)"
"Ariana Grande","R.E.M"
"Britney Spears","Oops!...I Did It Again"
"Arctic Monkeys","Snap Out of It"
"Tame Impala","Elephant"
"A Boogie Wit da Hoodie","Swervin (feat. 6ix9ine)"
"Spice Girls","Wannabe"
"Boston","More Than a Feeling"
"Grouplove","Tongue Tied"
"Bring Me the Horizon","Mantra"
"Men at Work","Down Under"
"Foals","Surf, Pt. 1"
"Kali Uchis","After The Storm (feat. Tyler, The Creator & Bootsy Collins)"
"Fleetwood Mac","Go Your Own Way"
"Arctic Monkeys","Mardy Bum"
"Hall & Oates","You Make My Dreams"
"Imagine Dragons","Demons"
"J. Cole","No Role Modelz"
"Selena Gomez","Wolves"
"Taylor Swift","Style"
"David Guetta","Say My Name"
"Beyoncé","Halo"
"Tom Walker","Just You and I"
"Gucci Mane","Wake Up in the Sky"
"Mac Miller","Self Care"
"A$AP Rocky","Sundress"
"Tyler, the Creator","Who Dat Boy"
"DNCE","Cake By The Ocean"
"Plain White T's","Hey There Delilah"
"Bastille","Pompeii"
"Lorde","Supercut"
"Neutral Milk Hotel","In the Aeroplane Over the Sea"
"AC/DC","Thunderstruck"
"Clean Bandit","Baby (feat. Marina & Luis Fonsi)"
"Weezer","Can't Knock The Hustle"
"Arctic Monkeys","When the Sun Goes Down"
"Hozier","No Plan"
"David Bowie","""Heroes"" - 2017 Remastered Version"
"Elton John","Tiny Dancer"
"Sigrid","Don’t Feel Like Crying"
"Creedence Clearwater Revival","Have You Ever Seen the Rain"
"Jason Mraz","I'm Yours"
"Weezer","Say It Ain't So"
"Queen","Radio Ga Ga - Remastered"
"Frank Ocean","White Ferrari"
"Shawn Mendes","Lost In Japan"
"Weezer","Island in the Sun"
"Bebe Rexha","I'm a Mess"
"Survivor","Eye of the Tiger"
"Queen","Another One Bites the Dust"
"The Cranberries","Linger"
"Sigrid","Strangers"
"Flume","Ecdysis"
"Modest Mouse","Float On"
"Aminé","REEL IT IN"
"Lady Gaga","Paparazzi"
"Kings of Leon","Use Somebody"
"Tame Impala","Eventually"
"Florence + the Machine","Hunger"
"Billie Eilish","watch"
"Calvin Harris","sLiDe (feat. frank ocean & MIGOS)"
"TLC","No Scrubs"
"Sigrid","Sucker Punch"
"Radiohead","Exit Music (for a Film)"
"Daft Punk","One More Time"
"Lorde","Sober"
"Sharon Van Etten","Seventeen"
"Arctic Monkeys","I Wanna Be Yours"
"Keane","Somewhere Only We Know"
"The Chainsmokers","Something Just Like This"
"Motörhead","Ace of Spades"
"Beyoncé","Crazy in Love"
"Avril Lavigne","Complicated"
"Pearl Jam","Alive"
"Rage Against the Machine","Bulls on Parade"
"Kanye West","Heartless"
"Kanye West","Runaway"
"The Weeknd","Can't Feel My Face"
"Fleetwood Mac","Landslide"
"Radiohead","Everything in Its Right Place"
"The Raconteurs","Steady, as She Goes"
"BTS","IDOL"
"Foals","I'm Done With The World (& It's Done With Me)"
"Queen","Killer Queen - Remastered 2011"
"Pabllo Vittar","Seu Crime"
"Kendrick Lamar","m.A.A.d city"
"BlocBoy JB","Look Alive (feat. Drake)"
"Ariana Grande","Love Me Harder"
"Edward Sharpe & The Magnetic Zeros","Home"
"Nirvana","The Man Who Sold the World"
"Tyler, the Creator","POTATO SALAD"
"James Bay","Peer Pressure (feat. Julia Michaels)"
"Lady Gaga","Alejandro"
"Lou Reed","Walk on the Wild Side"
"Pusha T","If You Know You Know"
"The Doors","Riders on the Storm"
"Imagine Dragons","whAtEveR it tAkes"
"Khalid","Saturday Nights"
"Fleetwood Mac","Dreams - 2004 Remaster"
"Summer Walker","Girls Need Love (with Drake) - Remix"
"Kendrick Lamar","Money Trees"
"LIL PEEP","Falling Down - Bonus Track"
"Khalid","Young Dumb & Broke"
"Phoenix","Lisztomania"
"Pearl Jam","Even Flow"
"Kavinsky","Nightcall"
"Kids See Ghosts","Cudi Montage"
"Iggy Pop","The Passenger"
"Hozier","Nobody"
"Demi Lovato","Sorry Not Sorry"
"Offset","Legacy (feat. Travis Scott & 21 Savage)"
"Ke$ha","TiK ToK"
"Taylor Swift","I Knew You Were Trouble."
"3 Doors Down","Kryptonite"
"The Carters","Apeshit"
"Taylor Swift","I Did Something Bad"
"Jennie","SoLo"
"OutKast","Ms. Jackson"
"Camila Cabello","Never Be The Same"
"Kendrick Lamar","LOYALTY. FEAT. RIHANNA."
"Red Hot Chili Peppers","By the Way"
"Frank Ocean","Lost"
"Muse","Starlight"
"Daft Punk","Instant Crush (feat. Julian Casablancas)"
"Queen","We Are The Champions - Remastered 2011"
"Gesaffelstein","Blast Off (feat. Pharrell Williams)"
"Guns N' Roses","Paradise City"
"Bon Jovi","You Give Love a Bad Name"
"Playboi Carti","Shoota (feat. Lil Uzi Vert)"
"George Harrison","My Sweet Lord"
"Slipknot","Duality"
"Walk the Moon","Shut Up and Dance"
"Bring Me the Horizon","Medicine"
"Arcade Fire","Everything Now"
"Sia","Thunderclouds (with Sia, Diplo & Labrinth)"
"Shakira","Hips Don't Lie"
"Fall Out Boy","Dance, Dance"
"Kanye West","Waves"
"Daniel Caesar","Get You (feat. Kali Uchis)"
"Green Day","Boulevard of Broken Dreams"
"MGMT","When You Die"
"The Offspring","You're Gonna Go Far, Kid"
"Simple Minds","Don't You (Forget About Me)"
"The Jackson 5","I Want You Back"
"Kansas","Carry on Wayward Son"
"Florence + the Machine","You've Got the Love"
"Troye Sivan","Bloom"
"Pabllo Vittar","Buzina"
"Marshmello","FRIENDS"
"Bon Iver","Holocene"
"Peter Bjorn and John","Young Folks"
"Travi$ Scott","CAN'T SAY"
"Robin Schulz","Speechless (feat. Erika Sirola)"
"Kendrick Lamar","Backseat Freestyle"
"Mazzy Star","Fade Into You"
"Kanye West","Monster"
"Queen","I Want to Break Free"
"Ed Sheeran","Thinking Out Loud"
"Frank Ocean","Super Rich Kids"
"Childish Gambino","Feels Like Summer"
"Tyga","Taste (feat. Offset)"
"Kendrick Lamar","Bitch, Don’t Kill My Vibe"
"MGMT","Little Dark Age"
"Foo Fighters","Learn to Fly"
"Miley Cyrus","Malibu"
"Khalid","LOCATION"
"Foals","Mountain At My Gates"
"Gotye","Somebody That I Used To Know"
"Grimes","We Appreciate Power"
"Carly Rae Jepsen","Call Me Maybe"
"Sigrid","Sight Of You"
"David Bowie","Starman - 2012 Remastered Version"
"AC/DC","You Shook Me All Night Long"
"My Chemical Romance","I'm Not Okay (I Promise)"
"Dermot Kennedy","Power Over Me"
"Tame Impala","Yes I'm Changing"
"Bloc Party","Banquet"
"Fall Out Boy","Thnks fr th Mmrs"
"Lorde","Tennis Court"
"Julia Michaels","What A Time (feat. Niall Horan)"
"Offset","Ric Flair Drip (& Metro Boomin)"
"In Flames","Call My Name"
"Tame Impala","The Moment"
"The Chainsmokers","Closer"
"Rex Orange County","Sunflower"
"Offset","Red Room"
"Cage the Elephant","Cigarette Daydreams"
"Audioslave","Like a Stone"
"The Rolling Stones","(I Can't Get No) Satisfaction"
"Twenty One Pilots","Nico And The Niners"
"Shawn Mendes","There's Nothing Holdin' Me Back"
"George Ezra","Budapest"
"Kacey Musgraves","Rainbow"
"Foo Fighters","Best of You"
"Florence + the Machine","Shake It Out"
"Ed Sheeran","Photograph"
"K/DA","POP/STARS"
"Jessie J","Bang Bang"
"Rihanna","We Found Love (feat. Calvin Harris)"
"Radiohead","Weird Fishes/ Arpeggi"
"Queen","Love Of My Life - Remastered 2011"
"4 Non Blondes","What's Up?"
"Gesaffelstein","Lost in the Fire (feat. The Weeknd)"
"Florence + the Machine","Moderation"
"bazzi","Mine"
"Ozuna","Baila Baila Baila"
"Kids See Ghosts","Freeee (Ghost Town Pt. 2)"
"Rihanna","Work"
"LOOΠΔ","butterfly"
"Beck","Loser"
"Buffalo Springfield","For What It's Worth"
"Kacey Musgraves","High Horse"
"David Guetta","Flames"
"James Blake","Barefoot In the Park (feat. ROSALÍA)"
"Rise Against","Savior"
"Metro Boomin","Space Cadet (feat. Gunna)"
"The Temper Trap","Sweet Disposition"
"Ariana Grande","Break Free"
"Nicki Minaj","Chun-Li"
"Cage the Elephant","Ready To Let Go"
"Talking Heads","Psycho Killer - 2005 Remastered Version"
"The 1975","Sincerity Is Scary"
"Pink Floyd","Comfortably Numb"
"Catfish and The Bottlemen","longshot"
"Van Morrison","Brown Eyed Girl"
"Lil Nas X","Old Town Road"
"Eminem","Lose Yourself - From ""8 Mile"" Soundtrack"
"2 Chainz","High Top Versace (feat. Young Thug)"
"Black Sabbath","Paranoid - 2009 Remastered Version"
"Queen","Killer Queen"
"Kids See Ghosts","Fire"
"Lady Gaga","Look What I Found"
"Michael Jackson","Beat It - Single Version"
"The Prodigy","Omen"
"BROCKHAMPTON","GOLD"
"Dennis Lloyd","Nevermind"
"Passenger","Let Her Go"
"Sufjan Stevens","Mystery Of Love"
"BROCKHAMPTON","Sweet"
"Joy Division","Disorder - 2007 remastered version"
"Alvvays","Dreams Tonite"
"Hozier","As It Was"
"Unknown Mortal Orchestra","Hunnybee"
"Lana Del Rey","Mariners Apartment Complex"
"Ariana Grande","The Light Is Coming (feat. Nicki Minaj)"
"Echo & the Bunnymen","The Killing Moon"
"Charlie Puth","Attention"
"Alice in Chains","Would?"
"In Flames","I Am Above"
"The National","I Need My Girl"
"Flume","Jewel"
"Flume","How To Build A Relationship"
"JPEGMAFIA","1539 N. Calvert"
"The Weeknd","Pray For Me (with Kendrick Lamar)"
"System of a Down","B.Y.O.B."
"Aphex Twin","Avril 14th"
"Lady Gaga","Applause"
"Linkin Park","What I've Done"
"Childish Gambino","IV. Sweatpants"
"Post Malone","White Iverson"
"New Order","Blue Monday - 2016 Remastered Version"
"Childish Gambino","Sober"
"The Human League","Don't You Want Me"
"Carly Rae Jepsen","Run Away with Me"
"Cream","Sunshine of Your Love"
"Galantis","Bones (feat. OneRepublic)"
"bazzi","Beautiful (feat. Camila Cabello)"
"Britney Spears","Womanizer"
"Daft Punk","Harder, Better, Faster, Stronger"
"Milky Chance","Stolen Dance"
"Kacey Musgraves","Slow Burn"
"Wham!","Wake Me up Before You Go-Go"
"BTS","DNA"
"Simon & Garfunkel","Mrs. Robinson"
"Katy Perry","I Kissed a Girl"
"Solange","Cranes In the Sky"
"Kacey Musgraves","Butterflies"
"Loud Luxury","Body"
"Gloria Groove","Coisa Boa"
"Lorde","Ribs"
"Weezer","Zombie Bastards"
"Kygo","Think About You (feat. Valerie Broussard)"
"Billy Joel","Uptown Girl"
"System of a Down","Aerials"
"Interpol","Obstacle 1"
"Royal Blood","Figure It Out"
"Shawn Mendes","Treat You Better"
"David Bowie","Space Oddity - 2015 Remastered Version"
"Dua Lipa","Be The One"
"Toto","Hold the Line"
"LIL PEEP","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)"
"James Arthur","Say You Won't Let Go"
"Avril Lavigne","Head Above Water"
"Metronomy","The Look"
